??,tot,sbi,bemp,act
0,28,7,21,1
1,28,7,21,1
2,28,7,21,1
3,28,7,21,1
4,28,7,21,1
5,28,7,21,1
6,28,6,22,1
7,28,6,22,1
8,28,6,22,1
9,28,6,22,1
10,28,6,22,1
11,28,6,22,1
12,28,6,22,1
13,28,7,21,1
14,28,6,22,1
15,28,6,22,1
16,28,5,23,1
17,28,5,23,1
18,28,4,24,1
19,28,4,24,1
20,28,4,24,1
21,28,4,24,1
22,28,4,24,1
23,28,4,24,1
24,28,4,24,1
25,28,4,24,1
26,28,4,24,1
27,28,4,24,1
28,28,5,23,1
29,28,4,24,1
30,28,3,25,1
31,28,2,26,1
32,28,1,27,1
33,28,1,27,1
34,28,0,28,1
35,28,0,28,1
36,28,0,28,1
37,28,0,28,1
38,28,0,28,1
39,28,0,28,1
40,28,0,28,1
41,28,0,28,1
42,28,0,28,1
43,28,0,28,1
44,28,0,28,1
45,28,0,28,1
46,28,0,28,1
47,28,0,28,1
48,28,0,28,1
49,28,0,28,1
50,28,0,28,1
51,28,0,28,1
52,28,0,28,1
53,28,1,27,1
54,28,1,27,1
55,28,1,27,1
56,28,1,27,1
57,28,1,27,1
58,28,1,27,1
59,28,1,27,1
60,28,1,27,1
61,28,1,27,1
62,28,1,27,1
63,28,1,27,1
64,28,1,27,1
65,28,1,27,1
66,28,1,27,1
67,28,1,27,1
68,28,1,27,1
69,28,1,27,1
70,28,1,27,1
71,28,1,27,1
72,28,1,27,1
73,28,1,27,1
74,28,1,27,1
75,28,1,27,1
76,28,2,26,1
77,28,1,27,1
78,28,1,27,1
79,28,1,27,1
80,28,1,27,1
81,28,1,27,1
82,28,1,27,1
83,28,1,27,1
84,28,1,27,1
85,28,1,27,1
86,28,1,27,1
87,28,1,27,1
88,28,1,27,1
89,28,1,27,1
90,28,1,27,1
91,28,1,27,1
92,28,1,27,1
93,28,1,27,1
94,28,1,27,1
95,28,1,27,1
96,28,1,27,1
97,28,1,27,1
98,28,1,27,1
99,28,1,27,1
100,28,1,27,1
101,28,1,27,1
102,28,1,27,1
103,28,1,27,1
104,28,1,27,1
105,28,1,27,1
106,28,1,27,1
107,28,1,27,1
108,28,1,27,1
109,28,1,27,1
110,28,1,27,1
111,28,1,27,1
112,28,1,27,1
113,28,1,27,1
114,28,1,27,1
115,28,1,27,1
116,28,1,27,1
117,28,1,27,1
118,28,1,27,1
119,28,1,27,1
120,28,1,27,1
121,28,1,27,1
122,28,1,27,1
123,28,1,27,1
124,28,1,27,1
125,28,0,28,1
126,28,0,28,1
127,28,0,28,1
128,28,0,28,1
129,28,1,27,1
130,28,1,27,1
131,28,1,27,1
132,28,1,27,1
133,28,1,27,1
134,28,1,27,1
135,28,1,27,1
136,28,1,27,1
137,28,1,27,1
138,28,1,27,1
139,28,1,27,1
140,28,1,27,1
141,28,1,27,1
142,28,1,27,1
143,28,1,27,1
144,28,1,27,1
145,28,1,27,1
146,28,1,27,1
147,28,1,27,1
148,28,1,27,1
149,28,1,27,1
150,28,1,27,1
151,28,1,27,1
152,28,1,27,1
153,28,1,27,1
154,28,1,27,1
155,28,1,27,1
156,28,1,27,1
